created_at,entry_id,field1,field2,field3,field3 percentage,status
2020-10-02 09:50:31 UTC,1800,31.3,80,471,54,0
2020-10-02 09:50:49 UTC,1801,31.3,79,471,54,0
2020-10-02 09:51:06 UTC,1802,31.3,77,471,54,0
2020-10-02 09:51:23 UTC,1803,31.3,78,477,53.4,0
2020-10-02 09:51:41 UTC,1804,31.2,77,471,54,0
2020-10-02 09:51:58 UTC,1805,31.2,79,478,53.3,0
2020-10-02 09:52:15 UTC,1806,31.2,80,478,53.3,0
2020-10-02 09:52:32 UTC,1807,31.2,77,474,53.7,0
2020-10-02 09:52:50 UTC,1808,31.2,79,475,53.6,0
2020-10-02 09:53:07 UTC,1809,31.2,78,475,53.6,0
2020-10-02 09:53:24 UTC,1810,31.2,77,475,53.6,0
2020-10-02 09:53:41 UTC,1811,31.2,78,476,53.5,0
2020-10-02 09:53:59 UTC,1812,31.3,77,475,53.6,0
2020-10-02 09:54:16 UTC,1813,31.3,78,476,53.5,0
2020-10-02 09:54:33 UTC,1814,31.3,77,476,53.5,0
2020-10-02 09:54:51 UTC,1815,31.3,78,483,52.8,0
2020-10-02 09:55:08 UTC,1816,31.3,78,483,52.8,0
2020-10-02 09:55:25 UTC,1817,31.3,78,478,53.3,0
2020-10-02 09:55:42 UTC,1818,31.3,79,484,52.7,0
2020-10-02 09:55:59 UTC,1819,31.3,78,485,52.6,0
2020-10-02 09:56:17 UTC,1820,31.3,78,486,52.5,0
2020-10-02 09:56:34 UTC,1821,31.2,79,481,53,0
2020-10-02 09:56:51 UTC,1822,31.2,78,481,53,0
2020-10-02 09:57:08 UTC,1823,31.2,78,483,52.8,0
2020-10-02 09:57:25 UTC,1824,31.2,78,488,52.3,0
2020-10-02 09:57:42 UTC,1825,31.2,78,488,52.3,0
2020-10-02 09:58:00 UTC,1826,31.3,80,488,52.3,0
2020-10-02 09:58:17 UTC,1827,31.3,83,489,52.2,0
2020-10-02 09:58:34 UTC,1828,31.3,79,485,52.6,0
2020-10-02 09:58:51 UTC,1829,31.2,81,485,52.6,0
2020-10-02 09:59:08 UTC,1830,31.2,80,490,52.1,0
2020-10-02 09:59:26 UTC,1831,31.2,80,487,52.4,0
2020-10-02 09:59:43 UTC,1832,31.3,79,493,51.8,0
2020-10-02 10:00:00 UTC,1833,31.2,78,493,51.8,0
2020-10-02 10:00:17 UTC,1834,31.3,78,487,52.4,0
2020-10-02 10:00:35 UTC,1835,31.3,78,493,51.8,0
2020-10-02 10:00:52 UTC,1836,31.3,79,488,52.3,0
2020-10-02 10:01:09 UTC,1837,31.3,79,487,52.4,0
2020-10-02 10:01:27 UTC,1838,31.3,78,494,51.7,0
2020-10-02 10:01:44 UTC,1839,31.3,79,488,52.3,0
2020-10-02 10:02:01 UTC,1840,31.3,78,489,52.2,0
2020-10-02 10:02:18 UTC,1841,31.3,78,489,52.2,0
2020-10-02 10:02:35 UTC,1842,31.3,77,489,52.2,0
2020-10-02 10:02:52 UTC,1843,31.3,77,490,52.1,0
2020-10-02 10:03:10 UTC,1844,31.3,77,490,52.1,0
2020-10-02 10:03:27 UTC,1845,31.4,77,497,51.4,0
2020-10-02 10:03:44 UTC,1846,31.4,77,496,51.5,0
2020-10-02 10:04:01 UTC,1847,31.4,78,497,51.4,0
2020-10-02 10:04:18 UTC,1848,31.4,77,499,51.2,0
2020-10-02 10:04:36 UTC,1849,31.4,80,494,51.7,0
2020-10-02 10:04:53 UTC,1850,31.4,78,499,51.2,0
2020-10-02 10:05:10 UTC,1851,31.4,79,495,51.6,0
2020-10-02 10:05:27 UTC,1852,31.4,81,499,51.2,0
2020-10-02 10:05:44 UTC,1853,31.3,79,495,51.6,0
2020-10-02 10:06:02 UTC,1854,31.4,81,500,51.1,0
2020-10-02 10:06:19 UTC,1855,31.4,79,495,51.6,0
2020-10-02 10:06:36 UTC,1856,31.4,77,495,51.6,0
2020-10-02 10:06:53 UTC,1857,31.4,77,495,51.6,0
2020-10-02 10:07:10 UTC,1858,31.4,79,495,51.6,0
2020-10-02 10:07:28 UTC,1859,31.4,78,495,51.6,0
2020-10-02 10:07:45 UTC,1860,31.4,78,496,51.5,0
2020-10-02 10:08:02 UTC,1861,31.4,78,496,51.5,0
2020-10-02 10:08:19 UTC,1862,31.4,77,496,51.5,0
2020-10-02 10:08:37 UTC,1863,31.4,78,496,51.5,0
2020-10-02 10:08:54 UTC,1864,31.3,77,496,51.5,0
2020-10-02 10:09:11 UTC,1865,31.3,78,496,51.5,0
2020-10-02 10:09:28 UTC,1866,31.3,77,502,50.9,0
2020-10-02 10:09:46 UTC,1867,31.3,76,496,51.5,0
2020-10-02 10:10:03 UTC,1868,31.3,77,502,50.9,0
2020-10-02 10:10:20 UTC,1869,31.3,78,497,51.4,0
2020-10-02 10:10:37 UTC,1870,31.3,77,496,51.5,0
2020-10-02 10:10:54 UTC,1871,31.3,77,496,51.5,0
2020-10-02 10:11:12 UTC,1872,31.3,78,495,51.6,0
2020-10-02 10:11:29 UTC,1873,31.3,77,496,51.5,0
2020-10-02 10:11:46 UTC,1874,31.3,79,496,51.5,0
2020-10-02 10:12:04 UTC,1875,31.3,78,500,51.1,0
2020-10-02 10:12:21 UTC,1876,31.3,78,496,51.5,0
2020-10-02 10:12:38 UTC,1877,31.3,78,496,51.5,0
2020-10-02 10:12:55 UTC,1878,31.3,78,496,51.5,0
2020-10-02 10:13:12 UTC,1879,31.3,78,501,51,0
2020-10-02 10:13:30 UTC,1880,31.3,77,502,50.9,0
2020-10-02 10:13:47 UTC,1881,31.3,80,502,50.9,0
2020-10-02 10:14:04 UTC,1882,31.3,79,497,51.4,0
2020-10-02 10:14:21 UTC,1883,31.3,80,497,51.4,0
2020-10-02 10:14:38 UTC,1884,31.2,81,497,51.4,0
2020-10-02 10:14:55 UTC,1885,31.2,80,496,51.5,0
2020-10-02 10:15:13 UTC,1886,31.2,78,496,51.5,0
2020-10-02 10:15:30 UTC,1887,31.2,79,496,51.5,0
2020-10-02 10:15:47 UTC,1888,31.2,79,500,51.1,0
2020-10-02 10:16:04 UTC,1889,31.2,77,496,51.5,0
2020-10-02 10:16:22 UTC,1890,31.2,79,502,50.9,0
2020-10-02 10:16:39 UTC,1891,31.1,78,502,50.9,0
2020-10-02 10:16:56 UTC,1892,31.2,80,501,51,0
2020-10-02 10:17:13 UTC,1893,31.2,80,496,51.5,0
2020-10-02 10:17:30 UTC,1894,31.1,79,496,51.5,0
2020-10-02 10:17:47 UTC,1895,31.2,80,496,51.5,0
2020-10-02 10:18:05 UTC,1896,31.1,80,497,51.4,0
2020-10-02 10:18:22 UTC,1897,31.1,80,497,51.4,0
2020-10-02 10:18:39 UTC,1898,31.1,78,502,50.9,0
2020-10-02 10:18:56 UTC,1899,31.1,78,502,50.9,0
2020-10-02 10:19:14 UTC,1900,31.2,78,496,51.5,0
2020-10-02 10:19:31 UTC,1901,31.2,80,500,51.1,0
2020-10-02 10:19:48 UTC,1902,31.1,80,497,51.4,0
2020-10-02 10:20:05 UTC,1903,31.1,80,502,50.9,0
2020-10-02 10:20:22 UTC,1904,31.1,79,497,51.4,0
2020-10-02 10:20:40 UTC,1905,31.1,78,502,50.9,0
2020-10-02 10:20:57 UTC,1906,31.1,81,497,51.4,0
2020-10-02 10:21:14 UTC,1907,31.1,79,502,50.9,0
2020-10-02 10:21:31 UTC,1908,31.1,81,502,50.9,0
2020-10-02 10:21:48 UTC,1909,31.1,83,496,51.5,0
2020-10-02 10:22:06 UTC,1910,31,80,496,51.5,0
2020-10-02 10:22:23 UTC,1911,31,79,496,51.5,0
